 ========================================================================================================================
                    EVENT   AVG TIME (s)       (%)   MAX TIME (s)   MIN TIME (s)    STD ERR (s)    BALANCE (%)
 ------------------------------------------------------------------------------------------------------------------------
                solve psi     0.9553E-01       2.4     0.9757E-01     0.9333E-01     0.1504E-02            1.6
                 solve bz     0.1681E+00       4.2     0.1720E+00     0.1637E+00     0.3066E-02            1.8
            solve beam bt     0.1956E+00       4.9     0.2016E+00     0.1911E+00     0.4487E-02            2.3
          solve plasma bt     0.1779E+00       4.5     0.1798E+00     0.1757E+00     0.1507E-02            0.8
                 solve ez     0.1977E+00       5.0     0.2019E+00     0.1926E+00     0.3511E-02            1.8
            solve beam et     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
          solve plasma et     0.6656E-02       0.2     0.6707E-02     0.6623E-02     0.3395E-04            0.5
           solve plasma A     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
                   smooth     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
         copy guard cells     0.2795E+00       7.0     0.4292E+00     0.1531E+00     0.1017E+00           36.4
   copy & add guard cells     0.3711E+00       9.3     0.5742E+00     0.1702E-01     0.2129E+00           57.4
              copy slices     0.3905E-01       1.0     0.3932E-01     0.3873E-01     0.2191E-03            0.6
                 pipeline    -0.3525E+01     -88.6    -0.3524E+01    -0.3526E+01     0.7169E-03           -0.0
     deposit 2D particles     0.2229E+00       5.6     0.4253E+00     0.1439E+00     0.1172E+00           52.6
        push 2D particles     0.4601E-01       1.2     0.1196E+00     0.1907E-01     0.4253E-01           92.4
        move 2D particles     0.1606E+00       4.0     0.2038E+00     0.6984E-01     0.5300E-01           33.0
        sort 2D particles     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
     deposit 3D particles     0.5249E-02       0.1     0.1543E-01     0.1566E-02     0.5879E-02          112.0
        push 3D particles     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
        move 3D particles     0.2133E-01       0.5     0.3024E-01     0.6540E-03     0.1205E-01           56.5
              extract psi     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
              arithmetics     0.4404E-01       1.1     0.4443E-01     0.4318E-01     0.5056E-03            1.1
               write hdf5     0.6667E+00      16.8     0.6702E+00     0.6565E+00     0.5909E-02            0.9
    total simulation time     0.3980E+01     100.0     0.3980E+01     0.3980E+01     0.6423E-05            0.0
 ========================================================================================================================
