 ==================================================
                         EVENT     ELAPSE TIME (s)
 --------------------------------------------------
                     solve psi          0.9333E-01
                      solve bz          0.1637E+00
                 solve beam bt          0.1911E+00
               solve plasma bt          0.1757E+00
                      solve ez          0.1926E+00
                 solve beam et          0.0000E+00
               solve plasma et          0.6627E-02
                solve plasma A          0.0000E+00
                        smooth          0.0000E+00
              copy guard cells          0.4292E+00
        copy & add guard cells          0.1702E-01
                   copy slices          0.3917E-01
                      pipeline         -0.3524E+01
          deposit 2D particles          0.4253E+00
             push 2D particles          0.1196E+00
             move 2D particles          0.6984E-01
             sort 2D particles          0.0000E+00
          deposit 3D particles          0.1543E-01
             push 3D particles          0.0000E+00
             move 3D particles          0.6540E-03
                   extract psi          0.0000E+00
                   arithmetics          0.4318E-01
                    write hdf5          0.6565E+00
         total simulation time          0.3980E+01
 ==================================================
