 ========================================================================================================================
                    EVENT   AVG TIME (s)       (%)   MAX TIME (s)   MIN TIME (s)    STD ERR (s)    BALANCE (%)
 ------------------------------------------------------------------------------------------------------------------------
                solve psi     0.1732E+00       1.1     0.1758E+00     0.1698E+00     0.2244E-02            1.3
                 solve bz     0.3326E+00       2.2     0.3367E+00     0.3266E+00     0.3798E-02            1.1
            solve beam bt     0.2675E+00       1.8     0.3216E+00     0.2352E+00     0.3446E-01           12.9
          solve plasma bt     0.3345E+00       2.2     0.3362E+00     0.3320E+00     0.1539E-02            0.5
                 solve ez     0.3427E+00       2.3     0.3460E+00     0.3376E+00     0.3150E-02            0.9
            solve beam et     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
          solve plasma et     0.1436E-01       0.1     0.1540E-01     0.1378E-01     0.6376E-03            4.4
           solve plasma A     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
                   smooth     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
         copy guard cells     0.8687E+00       5.7     0.2706E+01     0.2316E+00     0.1061E+01          122.2
   copy & add guard cells     0.4425E+01      29.1     0.7644E+01     0.3619E-01     0.3219E+01           72.8
              copy slices     0.8103E-01       0.5     0.8184E-01     0.8003E-01     0.6700E-03            0.8
                 pipeline    -0.5799E+01     -38.1    -0.5799E+01    -0.5799E+01     0.5568E-04           -0.0
     deposit 2D particles     0.2947E+01      19.4     0.5357E+01     0.4207E+00     0.2403E+01           81.6
        push 2D particles     0.9449E+00       6.2     0.1770E+01     0.8481E-01     0.8181E+00           86.6
        move 2D particles     0.1375E+01       9.0     0.2262E+01     0.5265E+00     0.8403E+00           61.1
        sort 2D particles     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
     deposit 3D particles     0.6599E-01       0.4     0.2433E+00     0.6350E-02     0.1024E+00          155.2
        push 3D particles     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
        move 3D particles     0.9917E-01       0.7     0.1340E+00     0.3697E-02     0.5517E-01           55.6
              extract psi     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
              arithmetics     0.1050E+00       0.7     0.1073E+00     0.1025E+00     0.1918E-02            1.8
               write hdf5     0.1012E+01       6.7     0.1025E+01     0.9740E+00     0.2205E-01            2.2
    total simulation time     0.1522E+02     100.0     0.1522E+02     0.1521E+02     0.4368E-03            0.0
 ========================================================================================================================
