 ==================================================
                         EVENT     ELAPSE TIME (s)
 --------------------------------------------------
                     solve psi          0.1729E+00
                      solve bz          0.3348E+00
                 solve beam bt          0.2352E+00
               solve plasma bt          0.3353E+00
                      solve ez          0.3443E+00
                 solve beam et          0.0000E+00
               solve plasma et          0.1378E-01
                solve plasma A          0.0000E+00
                        smooth          0.0000E+00
              copy guard cells          0.2459E+00
        copy & add guard cells          0.7371E+01
                   copy slices          0.8184E-01
                      pipeline         -0.5799E+01
          deposit 2D particles          0.6698E+00
             push 2D particles          0.1700E+00
             move 2D particles          0.2168E+01
             sort 2D particles          0.0000E+00
          deposit 3D particles          0.7199E-02
             push 3D particles          0.0000E+00
             move 3D particles          0.1317E+00
                   extract psi          0.0000E+00
                   arithmetics          0.1073E+00
                    write hdf5          0.1025E+01
         total simulation time          0.1522E+02
 ==================================================
