 ========================================================================================================================
                    EVENT   AVG TIME (s)       (%)   MAX TIME (s)   MIN TIME (s)    STD ERR (s)    BALANCE (%)
 ------------------------------------------------------------------------------------------------------------------------
                solve psi     0.6181E-01       0.8     0.6265E-01     0.6084E-01     0.6444E-03            1.0
                 solve bz     0.1104E+00       1.4     0.1123E+00     0.1081E+00     0.1578E-02            1.4
            solve beam bt     0.4778E+00       5.9     0.6273E+00     0.4010E+00     0.8786E-01           18.4
          solve plasma bt     0.1263E+00       1.5     0.1274E+00     0.1253E+00     0.7812E-03            0.6
                 solve ez     0.1196E+00       1.5     0.1216E+00     0.1173E+00     0.1579E-02            1.3
            solve beam et     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
          solve plasma et     0.1725E-01       0.2     0.1768E-01     0.1671E-01     0.4007E-03            2.3
           solve plasma A     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
                   smooth     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
         copy guard cells     0.4395E+00       5.4     0.1253E+01     0.1025E+00     0.4733E+00          107.7
   copy & add guard cells     0.1575E+01      19.3     0.2703E+01     0.1657E-01     0.1084E+01           68.9
              copy slices     0.8413E-01       1.0     0.8483E-01     0.8373E-01     0.4312E-03            0.5
                 pipeline     0.2625E-04       0.0     0.2800E-04     0.2100E-04     0.3031E-05           11.5
     deposit 2D particles     0.1781E+01      21.8     0.2624E+01     0.1187E+01     0.5558E+00           31.2
        push 2D particles     0.8752E+00      10.7     0.1328E+01     0.5579E+00     0.2946E+00           33.7
        move 2D particles     0.7544E+00       9.2     0.1082E+01     0.2990E+00     0.2985E+00           39.6
        sort 2D particles     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
     deposit 3D particles     0.2089E+00       2.6     0.8241E+00     0.2161E-02     0.3552E+00          170.0
        push 3D particles     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
        move 3D particles     0.4241E+00       5.2     0.5538E+00     0.4539E-01     0.2187E+00           51.6
              extract psi     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
              arithmetics     0.7425E-01       0.9     0.7615E-01     0.7331E-01     0.1115E-02            1.5
               write hdf5     0.2157E+00       2.6     0.2395E+00     0.1920E+00     0.2339E-01           10.8
    total simulation time     0.8157E+01     100.0     0.8157E+01     0.8157E+01     0.9760E-05            0.0
 ========================================================================================================================
