 ========================================================================================================================
                    EVENT   AVG TIME (s)       (%)   MAX TIME (s)   MIN TIME (s)    STD ERR (s)    BALANCE (%)
 ------------------------------------------------------------------------------------------------------------------------
                solve psi     0.7704E-01       0.8     0.7901E-01     0.7464E-01     0.1632E-02            2.1
                 solve bz     0.1427E+00       1.4     0.1457E+00     0.1393E+00     0.2329E-02            1.6
            solve beam bt     0.9773E-01       1.0     0.9957E-01     0.9633E-01     0.1170E-02            1.2
          solve plasma bt     0.1545E+00       1.5     0.1558E+00     0.1528E+00     0.1082E-02            0.7
                 solve ez     0.1533E+00       1.5     0.1553E+00     0.1505E+00     0.1915E-02            1.2
            solve beam et     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
          solve plasma et     0.2357E-01       0.2     0.2443E-01     0.2315E-01     0.5130E-03            2.2
           solve plasma A     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
                   smooth     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
         copy guard cells     0.5128E+00       5.1     0.1523E+01     0.1239E+00     0.5851E+00          114.1
   copy & add guard cells     0.1988E+01      19.9     0.3493E+01     0.2242E-01     0.1412E+01           71.0
              copy slices     0.1167E+00       1.2     0.1182E+00     0.1154E+00     0.1166E-02            1.0
                 pipeline     0.2950E-04       0.0     0.3200E-04     0.2700E-04     0.1803E-05            6.1
     deposit 2D particles     0.2468E+01      24.7     0.3673E+01     0.1576E+01     0.8116E+00           32.9
        push 2D particles     0.1211E+01      12.1     0.1842E+01     0.7392E+00     0.4240E+00           35.0
        move 2D particles     0.9258E+00       9.3     0.1385E+01     0.3107E+00     0.4090E+00           44.2
        sort 2D particles     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
     deposit 3D particles     0.2410E+00       2.4     0.9522E+00     0.2346E-02     0.4106E+00          170.3
        push 3D particles     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
        move 3D particles     0.4483E+00       4.5     0.5884E+00     0.3704E-01     0.2374E+00           53.0
              extract psi     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
              arithmetics     0.1033E+00       1.0     0.1041E+00     0.1018E+00     0.8920E-03            0.9
               write hdf5     0.3244E+00       3.2     0.3645E+00     0.2844E+00     0.3999E-01           12.3
    total simulation time     0.1000E+02     100.0     0.1000E+02     0.1000E+02     0.3069E-04            0.0
 ========================================================================================================================
