 ==================================================
                         EVENT     ELAPSE TIME (s)
 --------------------------------------------------
                     solve psi          0.7464E-01
                      solve bz          0.1393E+00
                 solve beam bt          0.9764E-01
               solve plasma bt          0.1528E+00
                      solve ez          0.1505E+00
                 solve beam et          0.0000E+00
               solve plasma et          0.2346E-01
                solve plasma A          0.0000E+00
                        smooth          0.0000E+00
              copy guard cells          0.1523E+01
        copy & add guard cells          0.2242E-01
                   copy slices          0.1182E+00
                      pipeline          0.2900E-04
          deposit 2D particles          0.2723E+01
             push 2D particles          0.1340E+01
             move 2D particles          0.8198E+00
             sort 2D particles          0.0000E+00
          deposit 3D particles          0.9522E+00
             push 3D particles          0.0000E+00
             move 3D particles          0.3704E-01
                   extract psi          0.0000E+00
                   arithmetics          0.1041E+00
                    write hdf5          0.2844E+00
         total simulation time          0.1000E+02
 ==================================================
