 ========================================================================================================================
                    EVENT   AVG TIME (s)       (%)   MAX TIME (s)   MIN TIME (s)    STD ERR (s)    BALANCE (%)
 ------------------------------------------------------------------------------------------------------------------------
                solve psi     0.8985E+00       4.0     0.9571E+00     0.8354E+00     0.4930E-01            5.5
                 solve bz     0.4769E+00       2.1     0.5048E+00     0.4627E+00     0.1703E-01            3.6
            solve beam bt     0.1266E+01       5.7     0.1640E+01     0.8785E+00     0.3049E+00           24.1
          solve plasma bt     0.3489E+00       1.6     0.3672E+00     0.3380E+00     0.1107E-01            3.2
                 solve ez     0.3874E+00       1.7     0.4217E+00     0.3670E+00     0.2181E-01            5.6
            solve beam et     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
          solve plasma et     0.7718E-02       0.0     0.7918E-02     0.7394E-02     0.1968E-03            2.5
           solve plasma A     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
                   smooth     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
         copy guard cells     0.3302E+01      14.8     0.7208E+01     0.1447E+01     0.2297E+01           69.6
   copy & add guard cells     0.1910E+01       8.6     0.3655E+01     0.3589E-01     0.1518E+01           79.5
              copy slices     0.4986E-01       0.2     0.5180E-01     0.4825E-01     0.1286E-02            2.6
                 pipeline    -0.4165E+01     -18.7    -0.4165E+01    -0.4165E+01     0.4794E-04           -0.0
     deposit 2D particles     0.6039E+01      27.1     0.7919E+01     0.3834E+01     0.1455E+01           24.1
        push 2D particles     0.2105E+01       9.5     0.2737E+01     0.1376E+01     0.4840E+00           23.0
        move 2D particles     0.1913E+01       8.6     0.2381E+01     0.1407E+01     0.4321E+00           22.6
        sort 2D particles     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
     deposit 3D particles     0.9224E-01       0.4     0.3514E+00     0.4244E-02     0.1496E+00          162.2
        push 3D particles     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
        move 3D particles     0.2864E+00       1.3     0.3852E+00     0.8188E-02     0.1607E+00           56.1
              extract psi     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
              arithmetics     0.9298E-01       0.4     0.1027E+00     0.8717E-01     0.6227E-02            6.7
               write hdf5     0.5700E+00       2.6     0.6126E+00     0.5102E+00     0.4414E-01            7.7
    total simulation time     0.2225E+02     100.0     0.2225E+02     0.2225E+02     0.2075E-03            0.0
 ========================================================================================================================
