 ========================================================================================================================
                    EVENT   AVG TIME (s)       (%)   MAX TIME (s)   MIN TIME (s)    STD ERR (s)    BALANCE (%)
 ------------------------------------------------------------------------------------------------------------------------
                solve psi     0.8435E-01       1.0     0.8782E-01     0.8110E-01     0.2413E-02            2.9
                 solve bz     0.1350E+00       1.6     0.1376E+00     0.1315E+00     0.2320E-02            1.7
            solve beam bt     0.1545E+00       1.8     0.1912E+00     0.1260E+00     0.2520E-01           16.3
          solve plasma bt     0.1587E+00       1.8     0.1642E+00     0.1551E+00     0.3361E-02            2.1
                 solve ez     0.1698E+00       2.0     0.1821E+00     0.1612E+00     0.8313E-02            4.9
            solve beam et     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
          solve plasma et     0.5757E-02       0.1     0.5873E-02     0.5648E-02     0.8511E-04            1.5
           solve plasma A     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
                   smooth     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
         copy guard cells     0.7583E+00       8.8     0.1671E+01     0.4157E+00     0.5292E+00           69.8
   copy & add guard cells     0.2502E+01      28.9     0.4262E+01     0.1194E+00     0.1780E+01           71.1
              copy slices     0.3309E-01       0.4     0.3432E-01     0.3255E-01     0.7294E-03            2.2
                 pipeline    -0.4560E+01     -52.7    -0.4560E+01    -0.4560E+01     0.2241E-03           -0.0
     deposit 2D particles     0.1350E+01      15.6     0.2611E+01     0.7910E-01     0.1218E+01           90.3
        push 2D particles     0.4355E+00       5.0     0.8882E+00     0.2263E-02     0.4151E+00           95.3
        move 2D particles     0.9931E+00      11.5     0.1454E+01     0.5224E+00     0.4361E+00           43.9
        sort 2D particles     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
     deposit 3D particles     0.1642E+00       1.9     0.4567E+00     0.3283E-02     0.1858E+00          113.2
        push 3D particles     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
        move 3D particles     0.3053E+00       3.5     0.4702E+00     0.1514E-01     0.1866E+00           61.1
              extract psi     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
              arithmetics     0.4284E-01       0.5     0.4531E-01     0.4055E-01     0.1691E-02            3.9
               write hdf5     0.5038E+00       5.8     0.5712E+00     0.4246E+00     0.6788E-01           13.5
    total simulation time     0.8646E+01     100.0     0.8647E+01     0.8643E+01     0.1667E-02            0.0
 ========================================================================================================================
