 ==================================================
                         EVENT     ELAPSE TIME (s)
 --------------------------------------------------
                     solve psi          0.8110E-01
                      solve bz          0.1315E+00
                 solve beam bt          0.1912E+00
               solve plasma bt          0.1551E+00
                      solve ez          0.1612E+00
                 solve beam et          0.0000E+00
               solve plasma et          0.5711E-02
                solve plasma A          0.0000E+00
                        smooth          0.0000E+00
              copy guard cells          0.1671E+01
        copy & add guard cells          0.1194E+00
                   copy slices          0.3255E-01
                      pipeline         -0.4560E+01
          deposit 2D particles          0.2522E+01
             push 2D particles          0.8107E+00
             move 2D particles          0.5939E+00
             sort 2D particles          0.0000E+00
          deposit 3D particles          0.4567E+00
             push 3D particles          0.0000E+00
             move 3D particles          0.1514E-01
                   extract psi          0.0000E+00
                   arithmetics          0.4299E-01
                    write hdf5          0.4246E+00
         total simulation time          0.8647E+01
 ==================================================
