 ========================================================================================================================
                    EVENT   AVG TIME (s)       (%)   MAX TIME (s)   MIN TIME (s)    STD ERR (s)    BALANCE (%)
 ------------------------------------------------------------------------------------------------------------------------
                solve psi     0.3719E-01       0.3     0.3719E-01     0.3719E-01     0.0000E+00            0.0
                 solve bz     0.8299E-01       0.7     0.8299E-01     0.8299E-01     0.0000E+00            0.0
            solve beam bt     0.4650E-01       0.4     0.4650E-01     0.4650E-01     0.0000E+00            0.0
          solve plasma bt     0.9255E-01       0.8     0.9255E-01     0.9255E-01     0.0000E+00            0.0
                 solve ez     0.9267E-01       0.8     0.9267E-01     0.9267E-01     0.0000E+00            0.0
            solve beam et     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
          solve plasma et     0.4607E-01       0.4     0.4607E-01     0.4607E-01     0.0000E+00            0.0
           solve plasma A     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
                   smooth     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
         copy guard cells     0.6465E-01       0.6     0.6465E-01     0.6465E-01     0.0000E+00            0.0
   copy & add guard cells     0.2882E-01       0.2     0.2882E-01     0.2882E-01     0.0000E+00            0.0
              copy slices     0.2230E+00       1.9     0.2230E+00     0.2230E+00     0.0000E+00            0.0
                 pipeline     0.3800E-04       0.0     0.3800E-04     0.3800E-04     0.0000E+00            0.0
     deposit 2D particles     0.5599E+01      47.8     0.5599E+01     0.5599E+01     0.0000E+00            0.0
        push 2D particles     0.2832E+01      24.2     0.2832E+01     0.2832E+01     0.0000E+00            0.0
        move 2D particles     0.1267E+00       1.1     0.1267E+00     0.1267E+00     0.0000E+00            0.0
        sort 2D particles     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
     deposit 3D particles     0.5726E+00       4.9     0.5726E+00     0.5726E+00     0.0000E+00            0.0
        push 3D particles     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
        move 3D particles     0.3378E-01       0.3     0.3378E-01     0.3378E-01     0.0000E+00            0.0
              extract psi     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
              arithmetics     0.1727E+00       1.5     0.1727E+00     0.1727E+00     0.0000E+00            0.0
               write hdf5     0.1265E+00       1.1     0.1265E+00     0.1265E+00     0.0000E+00            0.0
    total simulation time     0.1172E+02     100.0     0.1172E+02     0.1172E+02     0.0000E+00            0.0
 ========================================================================================================================
