 ==================================================
                         EVENT     ELAPSE TIME (s)
 --------------------------------------------------
                     solve psi          0.3719E-01
                      solve bz          0.8299E-01
                 solve beam bt          0.4650E-01
               solve plasma bt          0.9255E-01
                      solve ez          0.9267E-01
                 solve beam et          0.0000E+00
               solve plasma et          0.4607E-01
                solve plasma A          0.0000E+00
                        smooth          0.0000E+00
              copy guard cells          0.6465E-01
        copy & add guard cells          0.2882E-01
                   copy slices          0.2230E+00
                      pipeline          0.3800E-04
          deposit 2D particles          0.5599E+01
             push 2D particles          0.2832E+01
             move 2D particles          0.1267E+00
             sort 2D particles          0.0000E+00
          deposit 3D particles          0.5726E+00
             push 3D particles          0.0000E+00
             move 3D particles          0.3378E-01
                   extract psi          0.0000E+00
                   arithmetics          0.1727E+00
                    write hdf5          0.1265E+00
         total simulation time          0.1172E+02
 ==================================================
