 ========================================================================================================================
                    EVENT   AVG TIME (s)       (%)   MAX TIME (s)   MIN TIME (s)    STD ERR (s)    BALANCE (%)
 ------------------------------------------------------------------------------------------------------------------------
                solve psi     0.1006E+00       0.6     0.1016E+00     0.9849E-01     0.1236E-02            1.2
                 solve bz     0.1832E+00       1.0     0.1870E+00     0.1787E+00     0.3058E-02            1.7
            solve beam bt     0.1408E+00       0.8     0.1445E+00     0.1389E+00     0.2157E-02            1.5
          solve plasma bt     0.1977E+00       1.1     0.1997E+00     0.1952E+00     0.1682E-02            0.9
                 solve ez     0.1963E+00       1.1     0.2003E+00     0.1913E+00     0.3280E-02            1.7
            solve beam et     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
          solve plasma et     0.7626E-02       0.0     0.7768E-02     0.7479E-02     0.1158E-03            1.5
           solve plasma A     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
                   smooth     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
         copy guard cells     0.1285E+01       7.1     0.4533E+01     0.1474E+00     0.1876E+01          146.0
   copy & add guard cells     0.2213E+01      12.2     0.5384E+01     0.2947E-01     0.2111E+01           95.4
              copy slices     0.4813E-01       0.3     0.4859E-01     0.4781E-01     0.2888E-03            0.6
                 pipeline    -0.4806E+01     -26.6    -0.4805E+01    -0.4808E+01     0.9625E-03           -0.0
     deposit 2D particles     0.6990E+01      38.7     0.9693E+01     0.5008E+01     0.1807E+01           25.8
        push 2D particles     0.2454E+01      13.6     0.3460E+01     0.1734E+01     0.6653E+00           27.1
        move 2D particles     0.1327E+01       7.3     0.2048E+01     0.3200E+00     0.6671E+00           50.3
        sort 2D particles     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
     deposit 3D particles     0.7474E-01       0.4     0.2875E+00     0.3348E-02     0.1228E+00          164.4
        push 3D particles     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
        move 3D particles     0.2690E+00       1.5     0.3594E+00     0.9307E-02     0.1500E+00           55.8
              extract psi     0.0000E+00       0.0     0.0000E+00     0.0000E+00     0.0000E+00            NaN
              arithmetics     0.7346E-01       0.4     0.7457E-01     0.7279E-01     0.7000E-03            1.0
               write hdf5     0.5695E+00       3.2     0.6106E+00     0.5114E+00     0.4269E-01            7.5
    total simulation time     0.1807E+02     100.0     0.1807E+02     0.1807E+02     0.2357E-03            0.0
 ========================================================================================================================
