 ==================================================
                         EVENT     ELAPSE TIME (s)
 --------------------------------------------------
                     solve psi          0.1016E+00
                      solve bz          0.1870E+00
                 solve beam bt          0.1389E+00
               solve plasma bt          0.1997E+00
                      solve ez          0.2003E+00
                 solve beam et          0.0000E+00
               solve plasma et          0.7706E-02
                solve plasma A          0.0000E+00
                        smooth          0.0000E+00
              copy guard cells          0.1474E+00
        copy & add guard cells          0.5384E+01
                   copy slices          0.4859E-01
                      pipeline         -0.4808E+01
          deposit 2D particles          0.5008E+01
             push 2D particles          0.1734E+01
             move 2D particles          0.2048E+01
             sort 2D particles          0.0000E+00
          deposit 3D particles          0.3348E-02
             push 3D particles          0.0000E+00
             move 3D particles          0.3594E+00
                   extract psi          0.0000E+00
                   arithmetics          0.7457E-01
                    write hdf5          0.6102E+00
         total simulation time          0.1807E+02
 ==================================================
